#{"t_start": 1778540287.4289503, "env_id": "None"}
r,l,t
333.3,10,108.257687
329.97,9,108.27957
311.57,5,108.287555
-285.12,76,108.437069
-972.96,156,108.769659
-14.8,120,108.982898
-1638.68,200,109.332917
-1089.44,200,109.698296
-588.48,116,109.905769
-959.04,200,110.258956
134.87,63,110.373777
306.81,9,110.390293
-1074.12,200,110.848019
-508.41,107,111.037844
-426.54,90,111.200112
-433.32,108,111.39457
260.7,22,111.43156
-2053.8,200,111.82364
-1925.12,200,112.174994
310.98,6,112.186555
-1787.84,200,112.561772
300.24,4,112.575432
-1194.33,183,112.899218
-1617.56,200,113.308319
-1039.14,146,113.693101
313.32,4,113.703204
-1939.04,200,114.069988
159.27,39,114.13194
300.24,4,114.139941
-814.2,124,114.362763
300.99,3,114.364763
316.65,5,114.378566
-1678.08,200,114.724697
-1868.04,200,115.072523
-1283.67,197,115.44401
306.66,2,115.445017
197.37,29,115.498454
-915.36,200,115.98286
-46.11,41,116.044859
-468.28,84,116.193252
313.32,4,116.200248
-2052.2,200,116.555428
112.36,60,116.649832
-1301.9,194,117.035854
309.99,3,117.040851
213.78,30,117.112029
-1721.24,200,117.47917
-1617.8,200,117.857148
-1017.24,152,118.143229
-126.87,57,118.250346
-1316.16,200,118.637622
80.61,89,118.826999
-114.33,71,118.943981
-473.73,95,119.241959
313.32,4,119.249141
-1935.56,200,119.587957
-302.37,71,119.728284
-1551.56,200,120.116725
-974.72,200,120.446208
319.98,6,120.459217
320.97,9,120.474029
-1996.04,200,120.886366
300.3,14,120.915375
-852.88,200,121.287644
-358.8,80,121.427166
-720.3,118,121.634233
-1674.08,200,122.065681
-2147.72,200,122.522688
262.05,17,122.550676
199.64,76,122.713435
-1165.36,200,123.044722
-2076.2,200,123.391643
-2031.72,200,123.736866
-2113.88,200,124.094307
-1882.16,200,124.482879
-2115.8,200,124.895015
-693.6,200,125.409497
-2153.72,200,125.765874
-527.3,110,125.995623
-1826.2,200,126.349192
303.33,1,126.350191
-2079.56,200,126.730199
-1255.2,200,127.111526
-2127.44,200,127.464788
-2102.72,200,127.946194
-2049.32,200,128.301625
-1977.32,200,128.65078
-2133.2,200,128.990115
-1807.52,200,129.337295
-1667.16,200,129.692291
-1692.0,200,130.02846
-1244.13,167,130.331696
-1803.72,200,130.783072
-1375.48,200,131.145785
-1551.16,200,131.546186
316.65,5,131.556643
-2062.8,200,131.890285
-2177.36,200,132.261417
-1579.32,200,132.61316
-2072.96,200,132.97584
-2063.24,200,133.484418
-2082.56,200,133.865567
-1711.16,200,134.207081
-31.53,43,134.308402
307.65,5,134.320902
-2327.36,200,134.67406
334.29,13,134.693072
323.31,7,134.705784
-803.96,136,134.937033
-2139.8,200,135.297954
-1287.44,200,135.642134
-2228.36,200,135.995345
-1726.52,200,136.446221
-2114.96,200,136.883126
-1835.72,200,137.23128
306.66,2,137.23828
-2042.24,200,137.589913
-2194.28,200,137.98967
309.99,3,137.992668
-2058.32,200,138.365372
-1888.04,200,138.717277
-2168.88,200,139.196735
-2210.28,200,139.554133
-2161.04,200,139.955026
-2179.28,200,140.382631
-2157.44,200,140.771837
-2131.64,200,141.177825
-1314.3,166,141.484815
-1986.88,200,142.001521
-1606.64,200,142.375628
-2261.36,200,142.75897
-2188.04,200,143.12006
306.66,2,143.121059
-2117.48,200,143.47164
293.49,5,143.483657
-2322.52,200,143.882305
-1269.64,200,144.254521
-998.72,200,144.6881
-2118.8,200,145.066682
-2288.36,200,145.456056
-1579.56,200,145.925116
-512.12,200,146.317725
-2220.44,200,146.850856
303.57,5,146.860209
15.48,32,146.920807
-2116.16,200,147.320071
-2049.2,200,147.688451
-257.3,86,147.851372
-1386.8,200,148.369646
313.32,4,148.384132
-2102.72,200,148.787485
-1327.8,168,149.090426
-861.8,200,149.52727
-2164.64,200,149.928906
-1587.15,197,150.289783
-561.84,200,150.695198
-1182.76,200,151.225818
-1455.36,200,151.563275
-2119.4,200,151.910034
-1470.44,200,152.275916
245.56,44,152.354027
-2358.44,200,152.723692
312.96,12,152.742695
-2034.16,200,153.109022
-946.6,200,153.469334
230.22,18,153.509521
-2251.04,200,153.990694
-1682.44,200,154.333754
316.65,5,154.341739
-1199.4,200,154.793285
-2242.28,200,155.173345
-1845.8,200,155.525568
329.97,9,155.545569
324.3,10,155.568573
-2206.88,200,155.89221
-2203.28,200,156.239162
-1554.88,200,156.559333
-2055.32,200,157.067275
-2169.2,200,157.419313
-563.68,200,157.815572
320.97,9,157.833573
-2206.64,200,158.201421
-2196.2,200,158.58329
-2317.68,200,158.935164
-2298.68,200,159.31213
-2003.48,200,159.88387
-1142.04,200,160.26023
-2057.12,200,160.618458
326.64,8,160.632029
-2248.52,200,161.002794
-1016.72,200,161.367054
-2151.8,200,161.735719
-1613.04,200,162.131197
-2072.4,200,162.493418
-633.44,200,162.966608
-2080.64,200,163.337245
-642.36,200,163.719536
-612.76,200,164.087047
-1862.12,200,164.460609
-545.28,200,164.807626
-564.44,200,165.275138
-1996.16,200,165.660889
-1795.4,200,166.028422
-2052.2,200,166.427084
326.64,8,166.44408
323.31,7,166.468086
-1002.15,141,166.787158
-1467.96,200,167.147748
-1451.44,200,167.538792
-676.8,200,167.910372
-980.52,124,168.265544
-240.45,63,168.378999
202.66,46,168.464432
331.95,15,168.498875
-678.8,200,168.843804
-2246.12,200,169.240788
-1945.16,200,169.572787
331.95,15,169.625311
-758.71,117,169.834628
292.05,13,169.860945
-2130.56,200,170.211724
316.29,13,170.241568
17.97,37,170.303916
-1916.52,200,170.690265
-2255.12,200,171.043663
-2250.2,200,171.558618
-1204.6,200,171.937382
-685.8,112,172.130736
306.66,2,172.137646
-963.28,200,172.508558
-501.45,87,172.661396
-2195.96,200,173.034429
323.31,7,173.047671
-549.6,200,173.403698
326.64,8,173.416719
306.66,2,173.422703
-1205.07,161,173.712846
-2138.96,200,174.214152
-2111.12,200,174.595392
-2185.52,200,174.951776
336.63,11,174.970567
-35.88,80,175.11277
-2332.52,200,175.467118
-581.2,200,175.81112
-2374.76,200,176.293113
-2250.2,200,176.667022
243.7,58,176.801527
-615.68,200,177.157455
-2006.48,200,177.570425
-534.9,154,177.849203
-561.39,181,178.161163
-2164.28,200,178.527857
-1772.76,200,178.903976
-612.12,200,179.391114
-1925.72,200,179.778284
-1202.8,200,180.117692
-2095.04,200,180.476598
-2163.44,200,180.855067
-500.79,89,181.016483
-2153.48,200,181.372741
343.53,17,181.402754
-1098.92,200,181.738421
-1085.64,148,182.140486
-2124.04,200,182.474172
-727.2,200,182.822785
-144.54,54,182.920497
-2179.88,200,183.270848
306.66,2,183.272846
-2138.72,200,183.796374
-822.44,200,185.23784
-609.6,200,186.33482
-2090.28,200,187.408614
329.97,9,187.460618
335.28,16,187.850849
-373.23,85,188.433037
-2114.28,200,189.495515
104.28,36,189.672898
300.15,7,189.724435
-488.22,94,190.207196
-685.55,117,191.124186
-2189.72,200,192.158668
-213.72,68,192.532236
-1874.16,200,193.616246
-1006.95,133,194.550506
-2072.12,200,195.553182
309.99,3,195.578188
-1573.48,200,196.606612
-644.6,200,197.631264
-2232.44,200,199.007916
-1745.36,200,200.093733
-190.69,71,200.473521
-1779.68,200,201.87185
323.31,7,201.913422
-668.44,200,202.94118
-2093.4,200,204.01458
-5.85,35,204.188558
303.36,20,204.295074
-2135.12,200,205.561478
-2066.48,200,206.778815
-2069.96,200,207.820132
-1059.12,200,209.174311
-606.52,200,210.216469
-2004.08,200,211.238744
-2239.28,200,212.582784
-1454.64,200,213.601495
-2152.28,200,214.643446
-2294.68,200,215.737498
-1293.2,200,217.136314
-362.52,68,217.520851
238.64,16,217.619395
-2255.12,200,218.761819
-2336.36,200,220.177625
-2242.52,200,221.199682
-621.52,200,222.235946
-2204.36,200,223.29133
-2043.56,200,224.70451
-1757.08,200,225.763817
-2189.96,200,226.818887
-2206.04,200,228.191469
-1602.39,197,229.199867
-1297.71,165,230.08817
-2174.12,200,231.156391
-1692.64,200,232.412748
-1513.56,192,233.447931
-711.88,200,234.473971
-2120.12,200,235.946097
-568.76,200,236.955455
-1152.24,200,237.988489
-2046.2,200,239.025177
-1886.4,200,240.076065
-1405.64,200,241.08324
