#{"t_start": 1778332086.155168, "env_id": "None"}
r,l,t
264.15,29,93.622852
-14.8,86,93.708301
281.2,23,93.727638
272.5,35,94.674825
313.25,15,94.692199
285.6,21,94.718248
268.65,34,94.756645
295.95,15,94.771623
304.6,4,94.776311
254.05,26,94.807332
299.65,17,94.823425
297.65,13,94.838336
290.4,9,94.84754
289.65,28,94.873233
299.35,11,94.888365
307.5,10,94.898158
306.9,6,94.904669
309.85,19,94.921737
306.35,9,94.929359
308.05,7,94.938005
303.4,18,94.956769
251.7,32,94.990777
307.75,16,95.007555
306.9,6,95.013548
290.5,16,95.027818
308.65,11,95.038996
275.95,8,95.046006
259.8,40,95.08938
303.45,3,95.092371
293.0,24,95.116996
303.45,3,95.119008
308.1,14,95.129764
-937.1,250,95.371547
302.3,2,95.373528
306.9,6,95.37948
310.95,13,95.393761
295.35,11,95.406779
301.75,5,95.410789
300.6,4,95.412784
287.8,16,95.432183
291.45,11,95.443382
310.95,13,95.455711
303.45,3,95.458566
301.2,8,95.465514
306.6,15,95.477744
309.9,19,95.497353
313.8,12,95.509529
306.35,9,95.519674
299.1,5,95.524576
-1000.9,250,95.760858
310.65,22,95.791189
296.95,17,95.80737
314.4,16,95.820582
300.25,6,95.825101
304.85,10,95.835611
292.5,12,95.845132
241.6,29,95.871746
314.95,13,95.886991
271.65,33,95.917874
305.8,12,95.928269
302.0,11,95.940469
310.95,13,95.952554
284.35,13,95.965273
308.1,14,95.977455
300.85,10,95.986965
297.05,9,95.995999
304.15,14,96.016791
295.25,19,96.036661
302.05,18,96.054
303.45,25,96.078587
308.3,13,96.093625
310.4,16,96.110743
306.35,9,96.118804
303.7,9,96.127235
280.65,19,96.14549
-1105.25,250,96.393445
298.35,9,96.401651
314.95,13,96.415637
-986.4,250,96.644867
307.75,16,96.658395
302.3,2,96.660391
293.6,6,96.66869
293.5,14,96.680034
-243.4,186,97.823099
305.75,5,97.828687
300.6,26,97.854674
305.75,5,97.85993
310.4,16,97.882442
302.6,15,97.897392
297.3,15,97.907528
303.45,3,97.910462
302.4,9,97.921171
298.0,11,97.931366
310.85,21,98.059229
303.7,9,98.071036
313.8,12,98.086246
284.95,25,98.135301
301.4,7,98.143329
273.75,20,98.172022
308.05,7,98.182077
295.5,25,98.207781
308.65,11,98.222224
309.85,19,98.244716
-1031.5,250,98.522764
298.0,11,98.535411
308.05,7,98.542418
301.15,1,98.543417
-1014.5,250,98.80193
173.4,38,98.840349
314.95,13,98.854648
231.45,48,98.902664
289.95,19,98.921218
291.2,12,98.933451
303.7,9,98.94146
313.8,12,98.954486
-1109.0,250,99.203011
306.35,9,99.213029
298.9,6,99.22042
308.65,11,99.231371
301.2,8,99.238609
304.6,4,99.241526
305.45,14,99.255933
299.1,5,99.261795
306.0,11,99.271115
289.9,19,99.288143
305.2,8,99.297653
308.05,7,99.30318
293.65,13,99.315413
264.15,22,99.338909
302.3,2,99.341816
299.6,17,99.360714
301.4,7,99.37092
304.85,10,99.381442
304.05,7,99.386475
298.25,17,99.403696
303.75,16,99.419559
302.0,11,99.431912
303.1,20,99.452574
-1117.0,250,99.715335
-1032.85,250,100.998876
-1021.15,250,101.274691
312.65,11,101.288625
304.3,13,101.304643
116.15,91,101.40256
299.95,15,101.422325
316.35,20,101.444473
302.9,6,101.450564
316.7,18,101.468006
307.5,10,101.479971
302.55,8,101.488048
297.05,9,101.496677
313.85,19,101.513373
303.45,3,101.515439
313.85,19,101.535189
308.2,21,101.56118
306.35,9,101.569217
312.1,14,101.581384
305.4,7,101.58848
299.15,12,101.600561
281.8,27,101.627317
289.4,22,101.652709
302.3,2,101.654627
265.0,17,101.677132
305.75,5,101.681143
310.35,9,101.688713
301.75,5,101.696718
301.65,13,101.709866
312.1,14,101.720901
265.7,44,101.770783
-1024.85,250,102.018061
293.1,16,102.035309
294.6,15,102.048419
213.7,36,102.085721
224.2,44,102.129798
293.65,13,102.141851
277.95,34,102.179543
-993.1,250,102.590421
284.95,17,102.612228
310.95,13,102.630357
185.9,35,102.669845
306.05,18,102.692758
-1051.95,250,103.004016
209.85,28,103.028427
-968.85,250,103.296643
306.9,6,103.302748
297.95,26,104.276528
276.95,17,104.293839
298.2,10,104.302939
314.95,13,104.315457
292.3,13,104.328577
-1011.95,250,104.597435
296.8,3,104.601434
302.6,15,104.613114
312.65,11,104.62569
283.75,9,104.635613
311.5,10,104.646709
308.1,14,104.66035
305.75,5,104.665297
284.3,29,104.69291
-42.15,113,104.809009
-1026.35,250,105.045488
295.4,18,105.062985
293.6,6,105.068626
292.7,11,105.081267
260.2,45,105.130078
-948.95,250,105.365432
155.5,49,105.416535
304.6,4,105.420646
308.05,7,105.428749
298.2,10,105.440588
306.35,9,105.450675
-93.0,115,105.563416
280.2,29,105.598177
294.25,17,105.620291
291.45,18,105.641343
293.15,23,105.663099
298.8,14,105.676635
237.4,30,105.710709
291.1,27,105.739885
308.05,7,105.746401
300.7,11,105.757504
317.25,15,105.770149
297.05,9,105.778736
299.45,18,105.798344
225.95,74,105.879772
301.15,1,105.880772
293.15,23,105.90792
295.05,20,105.926478
148.05,46,105.977477
295.9,8,105.986059
210.75,30,106.017409
300.5,12,106.030247
274.95,22,106.050934
306.35,9,106.061996
312.9,17,106.081394
304.6,4,106.08559
316.7,18,106.10568
281.85,12,106.119715
146.5,62,106.182007
291.95,15,106.194551
202.7,38,106.241148
301.15,1,106.242606
