time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/episode_reward_ma100,time/total_timesteps,time/time_elapsed,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,eval/mean_ep_length,eval/mean_reward
90,83.56,-156.7025,560,-156.7025,184320,328,0.05180959840654396,0.5635491609573364,-0.7639808623120189,0.013264928,0.0003,890,0.163916015625,-0.015220106375636533,0.2,-0.010733233764767647,,
91,83.46,-158.10750000000002,560,-158.10750000000002,186368,332,0.050247544879675844,0.4704265594482422,-0.8265513701364398,0.022322487,0.0003,900,0.21591796875,-0.0203283628099598,0.2,-0.03953668475151062,,
,,,,-146.72549999999998,188416,,0.06424041533609852,0.2839456796646118,-0.5643680395558477,0.020359099,0.0003,910,0.13623046875,-0.01546241885080235,0.2,-0.03142581880092621,200.0,-815.9200000000001
92,78.49,-146.72549999999998,559,,188416,336,,,,,,,,,,,,
93,79.0,-146.65749999999997,560,-146.65749999999997,190464,339,0.059315485594561325,0.35330039262771606,-0.689066624827683,0.016861819,0.0003,920,0.178076171875,-0.016988399921683595,0.2,-0.045624274760484695,,
94,78.57,-145.9835,560,-145.9835,192512,343,0.05345103804138489,0.41625016927719116,-0.7636363880708814,0.016476832,0.0003,930,0.13486328125,-0.011868438011151738,0.2,0.00506364181637764,,
95,74.23,-130.00199999999998,560,-130.00199999999998,194560,347,0.0790808884834405,0.19445765018463135,-0.6827520545572042,0.016026173,0.0003,940,0.1701171875,-0.01733642632025294,0.2,-0.027979088947176933,,
,,,,-137.15900000000002,196608,,0.05848647684324533,0.38015216588974,-0.7070690166205168,0.023069734,0.0003,950,0.20244140625,-0.018631820738664828,0.2,-0.003936713561415672,200.0,-795.49
96,74.98,-137.15900000000002,559,,196608,351,,,,,,,,,,,,
97,76.47,-143.893,559,-143.893,198656,355,0.048738918546587226,0.6396506428718567,-0.685238416865468,0.013127813,0.0003,960,0.13486328125,-0.01273639105638722,0.2,0.007675713859498501,,
98,73.01,-130.376,559,-130.376,200704,358,0.05756696909666061,0.5209701657295227,-0.6618692682124674,0.01466842,0.0003,970,0.164501953125,-0.014476930387900211,0.2,-0.017236454412341118,,
